Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Isabelle Harrison,DAL,F,31,794,31,29,25.6,3.5,7.8,.456,0.0,0.2,.000,3.5,7.6,.468,1.5,2.2,.716,2.3,5.8,1.4,1.1,0.8,1.5,2.6,8.6
Bria Hartley,NYL,G,24,545,24,18,22.7,3.3,8.8,.376,1.0,3.0,.329,2.3,5.7,.401,2.2,2.8,.803,0.8,3.2,3.2,0.8,0.0,2.1,2.3,9.8
Tianna Hawkins,WAS,F,31,477,31,1,15.4,3.6,7.1,.514,1.1,2.9,.363,2.6,4.2,.620,1.2,1.3,.925,1.5,4.2,0.7,0.5,0.1,1.1,2.5,9.5
Tiffany Hayes,ATL,G,29,817,29,29,28.2,5.1,12.9,.393,1.2,4.0,.308,3.8,8.9,.432,3.3,4.4,.764,0.7,3.0,2.8,1.0,0.3,2.4,2.4,14.7
Natisha Hiedeman,CON,G,20,205,20,0,10.3,1.2,2.9,.414,0.7,1.4,.464,0.6,1.5,.367,0.6,1.2,.500,0.4,1.5,1.9,0.4,0.1,0.7,1.3,3.7
Tayler Hill,DAL,G,4,49,4,2,12.3,1.0,3.3,.308,0.3,1.5,.167,0.8,1.8,.429,1.0,1.3,.800,0.5,1.3,0.8,0.3,0.0,0.0,1.0,3.3
Myisha Hines-Allen,WAS,F,27,211,27,0,7.8,0.9,2.6,.362,0.2,0.6,.375,0.7,2.0,.358,0.3,0.4,.583,0.9,2.1,0.9,0.3,0.4,0.8,1.2,2.3
Bria Holmes,CON,G,34,529,34,0,15.6,2.3,5.7,.399,0.6,1.9,.317,1.7,3.8,.438,1.1,1.7,.672,0.3,1.4,0.9,0.5,0.2,0.9,1.1,6.3
Anriel Howard,SEA,F,3,20,3,0,6.7,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,0.0,0.0,,0.7,1.0,0.0,0.3,0.0,0.7,1.3,1.7
Natasha Howard,SEA,F,34,1066,34,34,31.4,6.7,15.2,.439,0.9,3.1,.308,5.7,12.1,.472,3.8,4.6,.810,2.7,8.2,2.1,2.2,1.7,2.9,2.9,18.1
Chloe Jackson,CHI,G,8,32,8,0,4.0,0.3,1.1,.222,0.0,0.0,,0.3,1.1,.222,0.1,0.8,.167,0.4,0.8,0.5,0.6,0.0,0.8,0.1,0.6
Briann January,PHO,G,32,852,32,26,26.6,2.2,5.7,.390,1.0,2.6,.378,1.3,3.1,.400,1.1,1.3,.837,0.2,1.3,3.2,0.8,0.1,1.7,2.1,6.5
Marine Johannes,NYL,G,19,345,19,0,18.2,2.5,5.8,.436,1.3,3.5,.379,1.2,2.3,.523,0.8,1.0,.789,0.5,1.8,2.4,0.4,0.2,1.2,1.6,7.2
Glory Johnson,DAL,F,28,676,28,19,24.1,2.8,7.6,.364,1.3,3.7,.340,1.5,4.0,.387,0.5,0.9,.583,1.0,5.1,1.4,1.4,0.6,1.0,1.6,7.3
Shenise Johnson,IND,G,17,219,17,0,12.9,1.8,5.3,.333,0.5,1.9,.242,1.3,3.4,.386,0.9,0.9,.938,0.6,2.1,1.1,0.7,0.1,0.7,1.0,4.9
Alexis Jones,LAS,G,20,243,20,1,12.2,1.4,3.5,.400,0.6,1.7,.333,0.9,1.9,.459,0.6,0.8,.800,0.1,1.1,1.8,0.3,0.2,1.4,1.5,4.0
Brionna Jones,CON,F,27,227,27,0,8.4,1.3,2.8,.467,0.0,0.0,.000,1.3,2.7,.473,0.9,1.3,.667,1.4,2.2,0.3,0.3,0.3,0.7,1.3,3.5
Jonquel Jones,CON,F,34,980,34,34,28.8,5.1,11.4,.448,1.3,4.1,.309,3.8,7.3,.526,3.2,3.9,.818,3.3,9.7,1.5,1.3,2.0,1.9,2.8,14.6
Paris Kea,IND,G,11,60,11,0,5.5,1.0,2.5,.407,0.5,0.8,.556,0.5,1.6,.333,0.2,0.4,.500,0.1,0.5,0.5,0.1,0.2,0.8,0.4,2.6
Betnijah Laney,IND,G-F,34,877,34,27,25.8,2.3,6.3,.362,0.6,1.9,.303,1.7,4.3,.388,0.5,0.9,.581,0.9,4.2,1.7,1.4,0.1,1.4,1.6,5.6
Crystal Langhorne,SEA,F-C,34,577,34,4,17.0,2.1,5.0,.409,0.5,1.7,.316,1.5,3.4,.456,1.0,1.3,.750,0.8,3.1,1.0,0.3,0.3,1.3,1.0,5.6
Jantel Lavender,CHI,F,23,619,23,22,26.9,4.5,9.1,.490,0.3,1.2,.222,4.2,8.0,.530,0.8,0.9,.905,2.0,6.9,1.1,0.3,0.6,1.4,1.5,10.0
Camille Little,PHO,F,29,425,29,0,14.7,1.4,3.2,.435,0.2,0.7,.333,1.1,2.4,.465,0.9,1.1,.806,0.7,2.4,0.8,0.4,0.3,0.9,1.8,3.9
Jewell Loyd,SEA,G,27,686,27,21,25.4,4.3,11.1,.391,1.3,3.7,.337,3.1,7.3,.419,2.4,2.6,.928,0.4,2.7,2.0,1.3,0.1,1.9,1.2,12.3
Sancho Lyttle,PHO,F,20,250,20,2,12.5,1.3,3.1,.419,0.1,0.2,.250,1.3,2.9,.431,0.3,0.4,.625,0.7,2.9,0.3,0.6,0.3,0.6,1.4,2.9
Marina Mabrey,LAS,G,31,355,31,0,11.5,1.5,4.2,.344,0.7,2.5,.273,0.8,1.7,.444,0.5,0.5,.875,0.2,1.2,1.0,0.6,0.2,0.8,0.7,4.0
Victoria Macaulay,CHI,C,5,22,5,0,4.4,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,0.4,0.4,1.000,0.2,0.8,0.0,0.4,0.2,0.0,0.6,1.2
Stephanie Mavunga,IND,F,24,204,24,0,8.5,1.0,2.0,.511,0.0,0.0,.000,1.0,1.9,.522,0.5,0.7,.706,0.9,2.3,0.2,0.3,0.3,0.4,1.6,2.5
Kayla McBride,LVA,G,34,990,34,34,29.1,4.5,10.5,.425,1.8,4.3,.428,2.6,6.3,.423,2.6,2.8,.906,0.6,4.1,2.6,1.2,0.1,1.7,1.4,13.3
Erica McCall,IND,F,15,104,15,0,6.9,0.2,1.5,.136,0.0,0.0,,0.2,1.5,.136,0.5,0.5,1.000,0.7,1.8,0.4,0.1,0.4,0.2,0.9,0.9
Brooke McCarty-Williams,DAL,G,34,447,34,3,13.1,0.8,2.6,.289,0.5,1.5,.360,0.2,1.2,.200,0.3,0.4,.917,0.3,1.3,1.9,0.5,0.0,0.9,1.2,2.4
Angel McCoughtry,ATL,F-G,1,0,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teaira McCowan,IND,C,34,752,34,16,22.1,3.5,6.8,.517,0.0,0.0,,3.5,6.8,.517,3.0,4.4,.687,3.2,9.0,0.2,0.6,1.3,1.3,3.2,10.0
Emma Meesseman,WAS,F,23,543,23,6,23.6,5.3,9.6,.552,0.8,2.0,.422,4.5,7.7,.585,1.7,1.8,.905,1.2,4.2,3.2,0.9,0.7,1.0,1.8,13.1
