Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Bridget Carleton,TOT,F,8,40,8,0,5.0,0.1,1.0,.125,0.1,0.5,.250,0.0,0.5,.000,0.0,0.0,,0.1,0.5,0.1,0.0,0.0,0.1,0.3,0.4
Alaina Coates,TOT,C,23,167,23,0,7.3,1.0,2.0,.533,0.0,0.0,,1.0,2.0,.533,0.5,0.9,.571,0.9,2.6,0.1,0.2,0.5,0.4,1.6,2.6
Theresa Plaisance,TOT,F,31,442,31,12,14.3,1.7,4.7,.370,0.8,2.4,.342,0.9,2.4,.397,0.7,0.8,.808,0.8,3.6,1.1,0.3,0.6,1.0,2.1,5.0
Karlie Samuelson,TOT,F,7,84,7,0,12.0,0.4,2.0,.214,0.4,1.7,.250,0.0,0.3,.000,0.0,0.0,,0.1,0.6,0.7,0.4,0.1,0.0,1.1,1.3
Asia Taylor,TOT,F,12,96,12,0,8.0,0.8,2.3,.357,0.0,0.2,.000,0.8,2.2,.385,0.5,0.7,.750,0.7,1.8,0.7,0.2,0.1,0.6,0.8,2.2
Kristine Anigwe,CON,F-C,17,121,17,0,7.1,0.6,2.1,.314,0.0,0.0,,0.6,2.1,.314,0.7,1.0,.706,0.8,1.8,0.2,0.4,0.2,0.6,1.0,2.0
Bridget Carleton,CON,F,4,29,4,0,7.3,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,0.0,0.0,,0.3,0.8,0.3,0.0,0.0,0.3,0.5,0.0
Alaina Coates,MIN,C,14,92,14,0,6.6,1.1,2.2,.484,0.0,0.0,,1.1,2.2,.484,0.4,0.6,.625,0.9,2.4,0.1,0.2,0.4,0.4,1.2,2.5
Theresa Plaisance,DAL,F,22,378,22,12,17.2,2.1,5.6,.374,1.0,3.0,.343,1.0,2.5,.411,0.8,1.0,.773,1.0,4.4,1.5,0.3,0.8,1.4,2.4,6.0
Karlie Samuelson,LAS,F,3,36,3,0,12.0,0.3,2.3,.143,0.3,2.0,.167,0.0,0.3,.000,0.0,0.0,,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0
Asia Taylor,MIN,F,8,65,8,0,8.1,1.3,2.8,.455,0.0,0.1,.000,1.3,2.6,.476,0.6,0.8,.833,0.5,1.8,0.9,0.1,0.1,0.6,0.8,3.1
Kristine Anigwe,DAL,F-C,10,129,10,0,12.9,1.1,3.3,.333,0.0,0.0,,1.1,3.3,.333,1.0,1.5,.667,1.4,3.6,0.3,0.3,0.4,0.7,2.2,3.2
Bridget Carleton,MIN,F,4,11,4,0,2.8,0.3,0.5,.500,0.3,0.5,.500,0.0,0.0,,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8
Alaina Coates,ATL,C,9,75,9,0,8.3,1.0,1.6,.643,0.0,0.0,,1.0,1.6,.643,0.8,1.4,.538,0.9,3.0,0.1,0.2,0.7,0.4,2.2,2.8
Theresa Plaisance,CON,F,9,64,9,0,7.1,0.9,2.6,.348,0.2,0.7,.333,0.7,1.9,.353,0.4,0.4,1.000,0.3,1.8,0.0,0.3,0.2,0.1,1.3,2.4
Karlie Samuelson,DAL,F,4,48,4,0,12.0,0.5,1.8,.286,0.5,1.5,.333,0.0,0.3,.000,0.0,0.0,,0.3,0.5,0.5,0.8,0.3,0.0,1.5,1.5
Asia Taylor,PHO,F,4,31,4,0,7.8,0.0,1.5,.000,0.0,0.3,.000,0.0,1.3,.000,0.3,0.5,.500,1.0,1.8,0.3,0.3,0.0,0.5,1.0,0.3
